Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
1,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
2,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,02-02-2018,,10-02-2018,M
3,21-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
4,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
5,07-02-2018,05-01-2018,11-01-2018,,,,,,,,
6,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,29-01-2018,,02-02-2018,,12-02-2018,F
7,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,02-02-2018,,09-02-2018,M
8,,05-01-2018,11-01-2018,18-01-2018,25-01-2018,29-01-2018,,02-02-2018,,12-02-2018,F
9,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
10,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
11,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,01-02-2018,05-02-2018,,13-02-2018,M
12,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,25-01-2018,31-01-2018,05-02-2018,,15-02-2018,F
13,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,03-02-2018,,14-02-2018,F
14,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,25-01-2018,,30-01-2018,,09-02-2018,M
15,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,02-02-2018,,10-02-2018,M
16,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
17,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,03-02-2018,,13-02-2018,F
18,,05-01-2018,11-01-2018,18-01-2018,21-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
19,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,31-01-2018,,08-02-2018,M
20,07-02-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
21,13-01-2018,05-01-2018,11-01-2018,,,,,,,,
22,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,08-02-2018,F
23,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,02-02-2018,,10-02-2018,M
24,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,10-02-2018,M
25,24-01-2018,05-01-2018,11-01-2018,18-01-2018,22-01-2018,,,,,,
26,,05-01-2018,11-01-2018,20-01-2018,24-01-2018,29-01-2018,,02-02-2018,,10-02-2018,M
27,14-01-2018,05-01-2018,11-01-2018,,,,,,,,
28,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,01-02-2018,05-02-2018,,15-02-2018,F
29,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
30,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
31,20-01-2018,05-01-2018,11-01-2018,,,,,,,,
32,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
33,,05-01-2018,11-01-2018,20-01-2018,26-01-2018,31-01-2018,,04-02-2018,11-02-2018,25-02-2018,F
34,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,06-02-2018,M
35,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,31-01-2018,,,,20-02-2018,F
36,,05-01-2018,11-01-2018,22-01-2018,30-01-2018,07-02-2018,,12-02-2018,,23-02-2018,F
37,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,28-01-2018,,01-02-2018,,11-02-2018,M
38,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
39,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,,,29-01-2018,,05-02-2018,M
40,01-02-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
41,19-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
42,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
43,22-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
44,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,06-02-2018,,17-02-2018,F
45,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,25-01-2018,,30-01-2018,,08-02-2018,M
46,24-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
47,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
48,27-01-2018,05-01-2018,11-01-2018,,,,,,,,
49,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,29-01-2018,,03-02-2018,,14-02-2018,F
50,,05-01-2018,11-01-2018,20-01-2018,25-01-2018,30-01-2018,,03-02-2018,,11-02-2018,M
51,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
52,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,M
53,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
54,,05-01-2018,11-01-2018,20-01-2018,26-01-2018,30-01-2018,,05-02-2018,,13-02-2018,M
55,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
56,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
57,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,10-02-2018,M
58,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,29-01-2018,,03-02-2018,,12-02-2018,F
59,,05-01-2018,11-01-2018,22-01-2018,26-01-2018,30-01-2018,,04-02-2018,,12-02-2018,M
60,28-01-2018,05-01-2018,11-01-2018,19-01-2018,22-01-2018,,,,,,
61,12-01-2018,05-01-2018,11-01-2018,,,,,,,,
62,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,01-02-2018,,09-02-2018,M
63,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,02-02-2018,,12-02-2018,F
64,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
65,,05-01-2018,11-01-2018,18-01-2018,20-01-2018,23-01-2018,26-01-2018,30-01-2018,,09-02-2018,F
66,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
67,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,08-02-2018,M
68,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
69,02-02-2018,05-01-2018,11-01-2018,19-01-2018,24-01-2018,26-01-2018,,,,,
70,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
71,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,01-02-2018,,09-02-2018,M
72,,05-01-2018,11-01-2018,21-01-2018,25-01-2018,30-01-2018,,03-02-2018,,12-02-2018,F
73,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,04-02-2018,,15-02-2018,F
74,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,06-02-2018,M
75,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
76,22-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
77,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,05-02-2018,M
78,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
79,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,27-01-2018,,31-01-2018,,10-02-2018,F
80,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,02-02-2018,,13-02-2018,F
81,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,31-01-2018,,07-02-2018,M
82,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,08-02-2018,M
83,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,28-01-2018,,02-02-2018,,13-02-2018,F
84,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
85,,05-01-2018,11-01-2018,20-01-2018,24-01-2018,29-01-2018,,02-02-2018,,12-02-2018,F
86,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
87,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
88,,05-01-2018,11-01-2018,19-01-2018,25-01-2018,30-01-2018,,05-02-2018,,16-02-2018,M
89,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
90,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,31-01-2018,,09-02-2018,F
91,24-01-2018,05-01-2018,11-01-2018,18-01-2018,22-01-2018,,,,,,
92,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
93,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,09-02-2018,M
94,30-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
95,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,08-02-2018,M
96,23-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
97,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
98,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,06-02-2018,M
99,07-02-2018,05-01-2018,11-01-2018,17-01-2018,21-01-2018,,,,,,
100,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
101,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,28-01-2018,,01-02-2018,,09-02-2018,F
102,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
103,13-01-2018,05-01-2018,11-01-2018,,,,,,,,
104,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
105,23-01-2018,05-01-2018,11-01-2018,22-01-2018,,,,,,,
106,18-01-2018,05-01-2018,11-01-2018,,,,,,,,
107,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,30-01-2018,,10-02-2018,F
108,22-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
109,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
110,,05-01-2018,11-01-2018,17-01-2018,23-01-2018,28-01-2018,,01-02-2018,,13-02-2018,F
111,04-03-2018,05-01-2018,11-01-2018,22-01-2018,25-01-2018,29-01-2018,,03-02-2018,,,
112,19-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
113,23-01-2018,05-01-2018,11-01-2018,17-01-2018,,,,,,,
114,,05-01-2018,11-01-2018,20-01-2018,24-01-2018,28-01-2018,,01-02-2018,,09-02-2018,M
115,,05-01-2018,11-01-2018,18-01-2018,21-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
116,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,31-01-2018,,10-02-2018,F
117,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
118,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,02-02-2018,,10-02-2018,M
119,,05-01-2018,11-01-2018,22-01-2018,24-01-2018,29-01-2018,02-02-2018,07-02-2018,,18-02-2018,F
120,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,01-02-2018,,11-02-2018,F
121,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,31-01-2018,,09-02-2018,F
122,26-01-2018,05-01-2018,11-01-2018,17-01-2018,22-01-2018,,,,,,
123,24-01-2018,05-01-2018,11-01-2018,22-01-2018,,,,,,,
124,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,29-01-2018,,02-02-2018,,11-02-2018,M
125,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,27-01-2018,,31-01-2018,,09-02-2018,F
126,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,08-02-2018,F
127,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,31-01-2018,05-02-2018,,13-02-2018,F
128,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,31-01-2018,,10-02-2018,F
129,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
130,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,26-01-2018,,30-01-2018,,09-02-2018,F
131,12-01-2018,05-01-2018,11-01-2018,,,,,,,,
132,30-01-2018,05-01-2018,11-01-2018,18-01-2018,21-01-2018,25-01-2018,,29-01-2018,,,
133,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,02-02-2018,,12-02-2018,F
134,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,02-02-2018,,12-02-2018,F
135,09-02-2018,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,31-01-2018,,,
136,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,29-01-2018,,04-02-2018,,14-02-2018,F
137,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,30-01-2018,,10-02-2018,F
138,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
139,01-02-2018,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,,,,,
140,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,24-01-2018,,29-01-2018,,06-02-2018,M
141,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,14-02-2018,F
142,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,25-01-2018,27-01-2018,30-01-2018,,07-02-2018,M
143,,05-01-2018,11-01-2018,18-01-2018,20-01-2018,22-01-2018,27-01-2018,01-02-2018,,11-02-2018,F
144,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,26-01-2018,,30-01-2018,,08-02-2018,M
145,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,30-01-2018,,04-02-2018,,14-02-2018,F
146,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,25-01-2018,,29-01-2018,,05-02-2018,M
147,24-01-2018,05-01-2018,11-01-2018,18-01-2018,22-01-2018,,,,,,
148,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
149,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,30-01-2018,,05-02-2018,,17-02-2018,F
150,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
151,,05-01-2018,11-01-2018,19-01-2018,26-01-2018,31-01-2018,,06-02-2018,,16-02-2018,F
152,13-01-2018,05-01-2018,11-01-2018,,,,,,,,
153,,05-01-2018,11-01-2018,21-01-2018,25-01-2018,29-01-2018,,03-02-2018,,12-02-2018,F
154,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,14-02-2018,F
155,18-01-2018,05-01-2018,11-01-2018,,,,,,,,
156,07-07-2018,05-01-2018,11-01-2018,18-01-2018,24-01-2018,,,,,,
157,20-01-2018,05-01-2018,11-01-2018,,,,,,,,
158,22-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
159,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,31-01-2018,,10-02-2018,F
160,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,31-01-2018,,07-02-2018,M
161,,05-01-2018,11-01-2018,24-01-2018,29-01-2018,02-02-2018,,06-02-2018,,20-02-2018,F
162,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,31-01-2018,,05-02-2018,,15-02-2018,F
163,25-01-2018,05-01-2018,11-01-2018,20-01-2018,24-01-2018,,,,,,
164,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
165,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
166,24-01-2018,05-01-2018,11-01-2018,17-01-2018,,,,,,,
167,,05-01-2018,11-01-2018,21-01-2018,27-01-2018,30-01-2018,,04-02-2018,,12-02-2018,M
168,29-01-2018,05-01-2018,11-01-2018,18-01-2018,25-01-2018,,,,,,
169,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
170,,05-01-2018,11-01-2018,18-01-2018,20-01-2018,22-01-2018,27-01-2018,30-01-2018,,07-02-2018,M
171,,05-01-2018,11-01-2018,20-01-2018,25-01-2018,30-01-2018,,05-02-2018,,15-02-2018,F
172,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,29-01-2018,,02-02-2018,,11-02-2018,M
173,07-02-2018,05-01-2018,11-01-2018,21-01-2018,28-01-2018,,,,,,
174,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
175,,05-01-2018,11-01-2018,18-01-2018,24-01-2018,28-01-2018,,01-02-2018,,08-02-2018,M
176,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
177,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,28-01-2018,,01-02-2018,,11-02-2018,F
178,17-01-2018,05-01-2018,11-01-2018,,,,,,,,
179,,05-01-2018,11-01-2018,17-01-2018,21-01-2018,24-01-2018,,30-01-2018,,06-02-2018,M
180,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,27-01-2018,,31-01-2018,,10-02-2018,F
181,24-01-2018,05-01-2018,11-01-2018,18-01-2018,,,,,,,
182,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,02-02-2018,,12-02-2018,F
183,,05-01-2018,11-01-2018,21-01-2018,25-01-2018,30-01-2018,,03-02-2018,,11-02-2018,M
184,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,26-01-2018,,31-01-2018,,08-02-2018,M
185,22-01-2018,05-01-2018,11-01-2018,,,,,,,,
186,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,01-02-2018,,11-02-2018,F
187,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
188,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,27-01-2018,,,,05-02-2018,M
189,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,30-01-2018,,06-02-2018,M
190,23-01-2018,05-01-2018,11-01-2018,18-01-2018,22-01-2018,,,,,,
191,13-01-2018,05-01-2018,11-01-2018,,,,,,,,
192,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,09-02-2018,F
193,20-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
194,,05-01-2018,11-01-2018,18-01-2018,22-01-2018,26-01-2018,,30-01-2018,,07-02-2018,M
195,,05-01-2018,11-01-2018,19-01-2018,23-01-2018,27-01-2018,,01-02-2018,,09-02-2018,F
196,25-01-2018,05-01-2018,11-01-2018,19-01-2018,,,,,,,
197,,05-01-2018,11-01-2018,17-01-2018,22-01-2018,26-01-2018,,31-01-2018,,08-02-2018,M
198,,05-01-2018,11-01-2018,25-01-2018,07-02-2018,,,,,,
199,,05-01-2018,11-01-2018,19-01-2018,24-01-2018,29-01-2018,,03-02-2018,,13-02-2018,F
200,,05-01-2018,11-01-2018,18-01-2018,23-01-2018,28-01-2018,,02-02-2018,,12-02-2018,F
Extras,,,,,,,,,,,
1,,05-01-2018,11-01-2018,,,,,,,13-02-2018,F
2,,05-01-2018,11-01-2018,,,,,,,07-02-2018,M
3,,05-01-2018,11-01-2018,,,,,,,11-02-2018,F
4,,05-01-2018,11-01-2018,,,,,,,09-02-2018,M
5,,05-01-2018,11-01-2018,,,,,,,14-02-2018,F
6,,05-01-2018,11-01-2018,,,,,,,08-02-2018,M
7,,05-01-2018,11-01-2018,,,,,,,11-02-2018,F
8,,05-01-2018,11-01-2018,,,,,,,07-02-2018,M
9,,05-01-2018,11-01-2018,,,,,,,14-02-2018,F
10,,05-01-2018,11-01-2018,,,,,,,10-02-2018,F
11,,05-01-2018,11-01-2018,,,,,,,18-02-2018,F
12,,05-01-2018,11-01-2018,,,,,,,12-02-2018,F
13,,05-01-2018,11-01-2018,,,,,,,,
14,,05-01-2018,11-01-2018,,,,,,,10-02-2018,M
15,,05-01-2018,11-01-2018,,,,,,,07-02-2018,M
16,,05-01-2018,11-01-2018,,,,,,,15-02-2018,F
17,,05-01-2018,11-01-2018,,,,,,,15-02-2018,F
18,,05-01-2018,11-01-2018,,,,,,,10-02-2018,F
19,,05-01-2018,11-01-2018,,,,,,,12-02-2018,F
20,,05-01-2018,11-01-2018,,,,,,,11-02-2018,F
21,,05-01-2018,11-01-2018,,,,,,,08-02-2018,M
22,,05-01-2018,11-01-2018,,,,,,,,
23,,05-01-2018,11-01-2018,,,,,,,10-02-2018,F
24,,05-01-2018,11-01-2018,,,,,,,09-02-2018,M
25,,05-01-2018,11-01-2018,,,,,,,11-02-2018,M
26,,05-01-2018,11-01-2018,,,,,,,10-02-2018,F
27,,05-01-2018,11-01-2018,,,,,,,17-02-2018,M
28,,05-01-2018,11-01-2018,,,,,,,09-02-2018,M
29,,05-01-2018,11-01-2018,,,,,,,14-02-2018,F
30,,05-01-2018,11-01-2018,,,,,,,09-02-2018,M
31,,05-01-2018,11-01-2018,,,,,,,10-02-2018,M
32,,05-01-2018,11-01-2018,,,,,,,09-02-2018,M
33,,05-01-2018,11-01-2018,,,,,,,,
34,,05-01-2018,11-01-2018,,,,,,,12-02-2018,F
35,,05-01-2018,11-01-2018,,,,,,,08-02-2018,M
36,,05-01-2018,11-01-2018,,,,,,,12-02-2018,F
37,,05-01-2018,11-01-2018,,,,,,,,
38,,05-01-2018,11-01-2018,,,,,,,,
39,,05-01-2018,11-01-2018,,,,,,,,
40,,05-01-2018,11-01-2018,,,,,,,09-02-2018,M
41,,05-01-2018,11-01-2018,,,,,,,,
42,,05-01-2018,11-01-2018,,,,,,,13-02-2018,F
43,,05-01-2018,11-01-2018,,,,,,,15-02-2018,F
44,,05-01-2018,11-01-2018,,,,,,,14-02-2018,F
45,,05-01-2018,11-01-2018,,,,,,,12-02-2018,M
46,,05-01-2018,11-01-2018,,,,,,,14-02-2018,F
47,,05-01-2018,11-01-2018,,,,,,,13-02-2018,F
48,,05-01-2018,11-01-2018,,,,,,,,
49,,05-01-2018,11-01-2018,,,,,,,13-02-2018,F
50,,05-01-2018,11-01-2018,,,,,,,07-02-2018,M
